"map","begin","title","end"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00022000001","1729-01-01","Afbeeldinge der Stadt Amsterdam gelijk deselve in den Jaare 1536 door Cornelis Anthonisz na 't Leven is geschildert, en Ao 1544. in druk uitgegeven","1729-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00023000001","1729-01-01","Afbeeldinge der Stadt Amsterdam gelijk deselve in den Jaare 1536 door Cornelis Anthonisz na 't Leven is geschildert, en Ao 1544. in druk uitgegeven","1729-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00055000001","1915-01-01","Plattegrond van Amsterdam omstreeks 1650, waarschijnlijk door Cornelis Danckerts","1915-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00195000001","1849-01-01","Cirkelvormige kaart van Amsterdam op schaal ca. 1:120.000","1849-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00249000001","1877-01-01","Amsterdam","1877-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00258000001","1882-01-01","Historische Kaart van Amsterdam [...]","1882-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00432000001","1738-01-01","De Burger Wyk No. 6","1740-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00433000001","1734-01-01","D' Burger Wyk No. 7","1738-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00437000001","1748-01-01","De Burger Wyk No. 13","1770-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00442000001","1762-01-01","Wyk No. XXII. onder den Ed. Manhaften Heer Kapitein Gerard van Keulen","1766-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00445000001","1761-01-01","Burger Wyk, No 26","1772-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00448000001","1784-01-01","Burger Wyk No 30. Binnen de Stadt Amsterdam","1784-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00450000001","1765-01-01","Afbeelding van de Burger-Compagnie Wyk No: 35. te Amsteldam","1765-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00456000001","1779-01-01","Burgerwachtbriefje of oproepbriefje van Burgerwijk 56 met een kaart van de wijk en voorbedrukte tekst voor de oproep, echter zonder de naam van een opgeroepene","1787-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00457000001","1779-01-01","Wyk 56","1787-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00458000001","1770-01-01","Wyk 56","1777-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00488000001","1850-01-01","Plan van Amsterdam","1852-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00488000002","1850-01-01","Advertentie van de Kantoor-boek & Papierhandel, Boekbinderij en Linieerfabriek van P.C.L. van Staden Cz., Rokin 121 hoek Langebrugsteeg, afgedrukt op verso van de Kaart van Amsterdam met de titel 'Plan van Amsterdam' met weergave van de buurtindeling ingevoerd in 1850","1852-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00494000001","1878-01-01","Amsterdam. (recto); Platte grond van Amsterdam. (verso)","1878-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00638000001","1916-01-01","Uitbreidingsplan Zuid der gemeente Amsterdam","1916-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KOKA00666000001","1842-01-01","Amsterdam in 1544","1842-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/STOK0100019000001","1717-01-01","Nieuwe accurate kaart van Amstellandt. Met een gedeelte van t Sticht, Rhynlandt, NoordHollandt met de Ye stroom en de afscheidingen van de steden en dorpen, daar in gelegen. Met de situwatie van alle de polders, molens, molen-wateringen en scheidingen in die landen begrepen. Gemeten en getekent door G. Drogenham Geometra en door J. v. Petersom geadmit. Landmeeter, in 't Koper gebragt door D. Stopendaal, en uitgegeven door Nicolaus Visscher met octroy van de Hoogmog. Heeren Staten Generaal der vereenigde Nederlanden. en tegenwoordig te bekomen tot Amst.m by R. &  I. Ottens Caartverkoopers op de Nieuwendyk in de  Wareld Caart","1717-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/000000091979","1988-08-30","Monumentenkaart Haarlemmerbuurt en Westelijke Eilanden","1988-08-30"
"http://beeldbank.amsterdam.nl/afbeelding/000000092130","1988-08-30","Monumentenkaart Haarlemmerbuurt en Westelijke Eilanden","1988-08-30"
"http://beeldbank.amsterdam.nl/afbeelding/005039000004","1662-01-01","X Werkkaart van Wittenburg en Oostenburg, de lijnbanen van de VOC en de Admiraliteit en de stadswal met een niet gerealiseerd laatste bolwerk","1665-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000609","1682-01-01","Caarte waarin vertoont werd de platte grond van de Nieuwe Plantage tussen de Heere gragt en de Muider Poort; zoals de zelve by de Ed. Achtbaren Raad der der Stad Amsterdam is gearresteert, den 16 Januarius Ao. 1682","1682-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000614","1725-01-01","Het Watergraafs of Diemer-Meer","1725-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010001000855","1639-01-01","Kaart van de Dam. Getekend door Cornelis Danckertsz de Ry. Schaal ca. 1:2.000","1639-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000001","1734-01-01","10033/20015775          Uitgiftekaart van erven tussen Nieuwe Kerkstraat en Nieuwe Prinsengracht bij de Amstel met rechtsonder de magere Brug (Brug 242)","1734-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000081","1659-01-01","Werkkaart voor de aanleg  van de VOC werf op Oostenburg en de stadswal tussen Houtewaal en het IJ. Vervaardigd door Cornelis Dankertsz de Rij. Schaal ca. 1:1.500","1660-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000082","1659-01-01","Werkkaart met een ontwerp van de Oostelijke Eilanden","1659-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000083","1660-01-01","Werkkaart met een ontwerp tot inrichting van het oostelijk gedeelte van de vierde uitleg tussen de Amstel en de Oostelijke Eilanden","1660-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000088","1850-08-01","Kaart van Kattenburg en Wittenburg getrokken uit het Kadastrale Plan Sectie H","1850-08-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000089","1868-01-01","Kaart getrokken uit het Kadastrale Plan van de Gemeente Amsterdam, Sectie B, betreffende het gebied nabij de Overtoomsevaart, Vondelstraat en Singelgracht met Brug voor de Leidsepoort","1868-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000090","1848-08-01","Kaart van de Stadsgronden aan het Otterspad en Menonitenpad (sic) buiten de Weteringbarriere te Amsterdam getrokken uit de Kadastrale Plans, Sectie B","1848-08-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000091","1850-01-01","Gem.te Nieuweramstel. Sectie C","1860-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000092","1851-11-18","Kaart van de Stads-Rietlanden te Zamen gesteld uit de kadastrale Plans","1851-11-18"
"http://beeldbank.amsterdam.nl/afbeelding/010033000093","1871-11-17","Kaart van de Stads Rietlanden","1871-11-17"
"http://beeldbank.amsterdam.nl/afbeelding/010033000094","1875-01-01","Kaart van de Stads Rietlanden","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000095","1860-01-01","Kaart met molenwerven nabij Singelgracht, Haarlemmerstraatweg en de Kattensloot","1870-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000096","1860-01-01","Kaart van het gebied, gelegen tussen de Kostverlorenvaart en de Singelgracht tussen de Raampoort en de Zaagmolenspoort","1880-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000097","1860-01-01","Kaart van enkele molenwerven gelegen op het Kwakerseiland","1870-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000098","1850-01-01","Kaart van een 7-tal molenwerven benoorden  de Overtoomsche Vaart bij het  Buitengasthuis en omgeving","1863-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000099","1850-01-01","Kaart met 3 situaties buiten de Singelgracht","1860-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000100","1839-01-01","Kaart van het gebied buiten de Weesperpoort","1843-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000101","1667-01-01",">>5039.KA>>Uitgiftekaart van vierenzeventig erven begrensd door de Vijzelstraat, Kerkstraat, Nieuwe Spiegelstraat en de Keiszersgracht","1667-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010035000024","1787-01-01","Nieuwe Kaart van de Wydberoemde Koopstat Amsteldam met deszelfs Gebied; Benevens alle de Plaisante Weegen en Paden buiten de Stat, Als naa Diemen, de geheele Diemer Meer, Als meede naa Slooterdyk, en den Overtoom, &c","1790-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010035000025","1787-01-01","Nieuwe Kaart van de Wydberoemde Koopstat Amsteldam met deszelfs Gebied; Benevens alle de Plaisante Weegen en Paden buiten de Stat, Als naa Diemen, de geheele Diemer Meer, Als meede naa Slooterdyk, en den Overtoom, &c","1790-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010035000045","1831-01-01","Carte Itinéraire des environs D'Amsterdam","1833-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000004","1860-01-01","Buurt WW, 1e Blad","1870-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000005","1860-01-01","Buurt WW, 2e Blad","1870-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000006","1860-01-01","Buurt WW, 3e blad","1870-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000007","1860-01-01","Buurt WW, 4e Blad","1870-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000010","1853-01-01","Buurt YY, Blad 1","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000011","1853-01-01","Buurt YY, Blad 2","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000012","1853-01-01","Buurt YY, 3e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000013","1853-01-01","Buurt YY, Blad 4","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000014","1853-01-01","Buurt YY, Blad 5","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000015","1853-01-01","Buurt YY, Blad 6","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000016","1853-01-01","Buurt YY, Blad 7","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000017","1853-01-01","Buurt ZZ, 1e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000018","1853-01-01","Buurt ZZ, 2e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000019","1853-01-01","Buurt ZZ, 3e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000020","1853-01-01","Buurt ZZ, 4e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000021","1853-01-01","Buurt ZZ, 5e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000022","1853-01-01","Buurt ZZ, 6e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000023","1853-01-01","Buurt ZZ, 7e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000024","1853-01-01","Buurt ZZ, 8e Blad","1875-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010043000028","1856-01-01","Buurt CC","1856-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010094008094","1772-01-01","Nieuwe Kaart van de Plantagie, geleegen binnen de Statsmueren van Amsterdam","1772-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010095000004","1875-01-01","Plan der voltooiing van het Vondelpark","1875-12-31"
